:RT;URL
Lauf;https://goo.gl/maps/kvY74JRooUkrUiKk9
Laurenburg;https://goo.gl/maps/mpfiuAJsnduy2B987
Lechenich;https://goo.gl/maps/t8p9NuT7EzT5e2bT9
Lichtenau;https://goo.gl/maps/aSbjnBnPvGv4CGxj9
Lichtenberg;https://goo.gl/maps/qQ5zEie92WaDe9yz8
Lichtenstein;https://goo.gl/maps/BodwqXAxhMdKbeVU8
Lichtenstein;https://goo.gl/maps/fgvyw1Z7Wji4DFKU6
Limburg a. d. L.;https://goo.gl/maps/RdTjXKefmtVCGadGA
Limburg/Haardt RP ;https://goo.gl/maps/kHsqkqbYMQzaduEG9
Lindelbrunn;https://goo.gl/maps/iABSytoC1S5gopFN9
Lindenfels;https://goo.gl/maps/tWjP4pHKjd3myAv49
Lindheim / Wetterau;https://goo.gl/maps/pJSgrUKhvyJPy1NBA
Líndos;https://goo.gl/maps/Ahj3YTM77uu2DP6t6
Linn;https://goo.gl/maps/aDtcpLfjKe5zhWaG6
Loccum;https://goo.gl/maps/Sgct1psTG6uFgfyj8
Lochau;https://goo.gl/maps/beT9osTFA7UyAh8EA
Loches;https://goo.gl/maps/rAcJoHy1LdDM3Fb78
Lorch;https://goo.gl/maps/aDJfRMBiadXdkYNv6
Louvre;https://goo.gl/maps/scSJDBUMZpsbJXFg8
Löwenburg in Wilhelmshöhe bei Kassel ;https://goo.gl/maps/onZQrnVbD23upZLs5
Ludwigsburg;https://goo.gl/maps/2foqB2yHfWg1uGFAA
Lürken;https://goo.gl/maps/5TXkgvwaVVxqMPez8
Luxemburg;https://goo.gl/maps/SDfHqjZ5SaESZRts7
Maastricht;https://goo.gl/maps/MhtMHZbQWSqQr7wWA
Madenburg;https://goo.gl/maps/Shb3tBBsNGkUZckv8
Mägdeberg;https://goo.gl/maps/u3aonLfjQUfv2f6v6
Maginot-Linie ;https://goo.gl/maps/3qAuncDMRSEUUpJY8
Mainz, Zitadelle;https://goo.gl/maps/EGVtvFZ8kw2KjdxPA
Mainz-Kastel ;https://goo.gl/maps/mcbsK1nXfZhmHfVDA
Mammertshofen;https://goo.gl/maps/h2P9SqWqW64Y7cpUA
Manderscheid;https://goo.gl/maps/EmUsfZjAj6b8Kn9j8
Mandráki / Insel Nísyros;https://goo.gl/maps/NKyTK4T3UBeS7ip96
Mannheim;https://goo.gl/maps/kMksFv3bctJTht1n8
Mansfeld;https://goo.gl/maps/xuAQPStPLygyVMJy7
Schloss Marburg;https://goo.gl/maps/nvn4SNNfjPMEQEoX7
Mariannenaue;https://goo.gl/maps/au7WBZTpfEUgZBkLA
Marienberg/Würzburg;https://goo.gl/maps/Ppjd2365eQaYdBL27
Marienburg / Nogat;https://goo.gl/maps/gZP5jCKySoYxgnG88
Marienburg;https://goo.gl/maps/n4V8XgYQXYktnYq99
Marienwerder;https://goo.gl/maps/ciptJYuwiNgG4xAb9
Mark bei Hamm NW ;https://goo.gl/maps/mvqMGtwp9dZ27W7s9
Marksburg;https://goo.gl/maps/pnAM9H8D51x37ake8
Fort St. Thomas;https://goo.gl/maps/F1okTxV1YPv5d11RA
Schloss Martainville;https://goo.gl/maps/ypRKvzkHQsFUvCvY8
Martinsburg;https://goo.gl/maps/Gf3oMRx7MULgdpDLA
#Martinsburg/Lahnstein;https://goo.gl/maps/poVgjhMAuxWGwAF86
Mauel;https://goo.gl/maps/AmUHzxBoFHqZMcKw8
Maulbronn;https://goo.gl/maps/cFj6KKcAynP3NAf7A
Mäuseturm;https://goo.gl/maps/5WnS1wh7DXduNAVo8
Mellnau;https://goo.gl/maps/bkdbi2rTMsSdRdDb9
Mespelbrunn;https://goo.gl/maps/KpwohX8oA8ey8mdh8
Mewe;https://goo.gl/maps/CNi5t1vLbHitZa6W6
Michelsberg;https://goo.gl/maps/ttn4pSW9RjCWgbJn7
Minden;https://goo.gl/maps/HDrwQQNypvkr4Zvw8
Molsberg;https://goo.gl/maps/Yr95EF1hinAhTsuw6
Monschau;https://goo.gl/maps/k2tRSQuWE2UEQgCFA
Monsilienburg;https://goo.gl/maps/Vqg22ohMH2GBRdpm7
Montbazon;https://goo.gl/maps/3PRehkPFR1xKv7Lr6
Montfort nahe Bad Kreuznach;https://goo.gl/maps/mAaRfLuSLaWMjHQW8
Mosburg;https://goo.gl/maps/fVnD7a2p2E76kpqz6
Hastings;https://goo.gl/maps/BCNPj9zmP9stdotRA
Mülenen;https://goo.gl/maps/17TGa7Uzh1jjde9R9
München, Residenz ;https://goo.gl/maps/AiEn1jc8mpCiwCECA
Munot/Schaffhausen;https://goo.gl/maps/dMjZkqfpwo9zE5wT6
Münster, Schloss;https://goo.gl/maps/AjWJdPV2SWyENJtq6
Münzenberg;https://goo.gl/maps/jLX9dwxa3o5hLQv47
Mürlenbach;https://goo.gl/maps/ZJ9R241ikoaykk65A
Näfels;https://goo.gl/maps/1B3pBTwnXKr5bkB99
Nanstein;https://goo.gl/maps/vW1ftyRQLE2aZH9K7
Nassau;https://goo.gl/maps/eemyhBATpqafMRTt8
Neipperg;https://goo.gl/maps/cqQZycTTcLtXwy7h9
Nellenburg;https://goo.gl/maps/okNhxyEUF5Q191MW7
Schloss Neu-Augustusburg;https://goo.gl/maps/3J5ywGx5K4ajBrsd8
Neubreisach;https://goo.gl/maps/xqTEhTZJQ1i724PJ8
Neuenburg;https://goo.gl/maps/Nu7Un13u4G3AVLTk9
Neuerburg;https://goo.gl/maps/5CJ6WqTumpzciX9n9
Neukastel;https://goo.gl/maps/wSMZ8iG3GThusUcW7
